Date	Close/Last
4/24/2025	467.35
4/25/2025	472.56
4/28/2025	472.41
4/29/2025	475.53
4/30/2025	475.47
5/1/2025	481.68
5/2/2025	488.83
5/5/2025	485.93
5/6/2025	481.41
5/7/2025	483.3
5/8/2025	488.29
5/9/2025	487.97
5/12/2025	507.85
5/13/2025	515.59
5/14/2025	518.68
5/15/2025	519.25
5/16/2025	521.51
5/19/2025	522.01
5/20/2025	520.27
5/21/2025	513.04
5/22/2025	514
5/23/2025	509.24
5/27/2025	521.22
5/28/2025	518.91
5/29/2025	519.93
5/30/2025	519.11
6/2/2025	523.21
6/3/2025	527.3
6/4/2025	528.77
6/5/2025	524.79
6/6/2025	529.92
6/9/2025	530.7
6/10/2025	534.21
6/11/2025	532.41
6/12/2025	533.66
6/13/2025	526.96
6/16/2025	534.29
6/17/2025	529.08
6/18/2025	528.99
6/20/2025	526.83
6/23/2025	531.65
6/24/2025	539.78
6/25/2025	541.16
6/26/2025	546.22
6/27/2025	548.09
6/30/2025	551.64
7/1/2025	546.99
7/2/2025	550.8
7/3/2025	556.22
7/7/2025	552.03
7/8/2025	552.34
7/9/2025	556.25
7/10/2025	555.45
7/11/2025	554.2
7/14/2025	556.21
7/15/2025	556.72
7/16/2025	557.29
7/17/2025	561.8
7/18/2025	561.26
7/21/2025	564.17
7/22/2025	561.25
7/23/2025	563.81
7/24/2025	565.01
7/25/2025	566.37
7/28/2025	568.14
7/29/2025	567.26
7/30/2025	568.02
7/31/2025	565.01
8/1/2025	553.88
8/4/2025	564.1
8/5/2025	560.27
8/6/2025	567.32
8/7/2025	569.24
8/8/2025	574.55
8/11/2025	572.85
8/12/2025	580.05
8/13/2025	580.34
8/14/2025	579.89
8/15/2025	577.34
8/18/2025	577.11
8/19/2025	569.28
8/20/2025	565.9
8/21/2025	563.28
8/22/2025	571.97
8/25/2025	570.32
8/26/2025	572.61
8/27/2025	573.49
8/28/2025	577.08
8/29/2025	570.4
9/2/2025	565.62
9/3/2025	570.07
9/4/2025	575.23
9/5/2025	576.06
9/8/2025	578.87
9/9/2025	580.51
9/10/2025	580.7
9/11/2025	584.08
9/12/2025	586.66
9/15/2025	591.68
9/16/2025	591.18
9/17/2025	590
9/18/2025	595.32
9/19/2025	599.35
9/22/2025	602.2
9/23/2025	598.2
9/24/2025	596.1
9/25/2025	593.53
9/26/2025	595.97
9/29/2025	598.73
9/30/2025	600.37
10/1/2025	603.25
10/2/2025	605.73
10/3/2025	603.18
10/6/2025	607.71
10/7/2025	604.51
10/8/2025	611.44
10/9/2025	610.7
10/10/2025	589.5
10/13/2025	602.01
10/14/2025	598
10/15/2025	602.22
10/16/2025	599.99
10/17/2025	603.93
10/20/2025	611.54
10/21/2025	611.38
10/22/2025	605.49
10/23/2025	610.58
10/24/2025	617.1
10/27/2025	628.09
10/28/2025	632.92
10/29/2025	635.77
10/30/2025	626.05
10/31/2025	629.07
11/3/2025	632.08
11/4/2025	619.25
11/5/2025	623.28
11/6/2025	611.67
11/7/2025	609.74
11/10/2025	623.23
11/11/2025	621.57
11/12/2025	621.08
11/13/2025	608.4
11/14/2025	608.86
11/17/2025	603.66
11/18/2025	596.31
11/19/2025	599.87
11/20/2025	585.67
11/21/2025	590.07
11/24/2025	605.16
11/25/2025	608.89
11/26/2025	614.27
11/28/2025	619.25
12/1/2025	617.17
12/2/2025	622
12/3/2025	623.52
12/4/2025	622.94
12/5/2025	625.48
12/8/2025	624.28
12/9/2025	625.05
12/10/2025	627.61
12/11/2025	625.58
12/12/2025	613.62
12/15/2025	610.54
12/16/2025	611.75
12/17/2025	600.41
12/18/2025	609.11
12/19/2025	617.05
12/22/2025	619.21
12/23/2025	622.11
12/24/2025	623.93
12/26/2025	623.89
12/29/2025	620.87
12/30/2025	619.43
12/31/2025	614.31
1/2/2026	613.12
1/5/2026	617.99
1/6/2026	623.42
1/7/2026	624.02
1/8/2026	620.47
1/9/2026	626.65
1/12/2026	627.17
1/13/2026	626.24
1/14/2026	619.55
1/15/2026	621.78
1/16/2026	621.26
1/20/2026	608.06
1/21/2026	616.28
1/22/2026	620.76
1/23/2026	622.72
1/26/2026	625.46
1/27/2026	631.13
1/28/2026	633.22
1/29/2026	629.43
1/30/2026	621.87
2/2/2026	626.14
2/3/2026	616.52
2/4/2026	605.75
2/5/2026	597.03
2/6/2026	609.65
2/9/2026	614.32
2/10/2026	611.47
2/11/2026	613.11
2/12/2026	600.64
2/13/2026	601.92
2/17/2026	601.3
2/18/2026	605.79
2/19/2026	603.47
2/20/2026	608.81
2/23/2026	601.41
2/24/2026	607.87
2/25/2026	616.68
2/26/2026	609.24
2/27/2026	607.29
3/2/2026	608.09
3/3/2026	601.58
3/4/2026	610.75
3/5/2026	608.91
3/6/2026	599.75
3/9/2026	607.76
3/10/2026	607.77
3/11/2026	607.69
3/12/2026	597.26
3/13/2026	593.72
3/16/2026	600.38
3/17/2026	603.31
3/18/2026	594.9
3/19/2026	593.02
3/20/2026	582.06
3/23/2026	588
3/24/2026	583.98
3/25/2026	587.82
3/26/2026	573.79
3/27/2026	562.58
3/30/2026	558.28
3/31/2026	577.18
4/1/2026	584.31
4/2/2026	584.98
4/6/2026	588.5
4/7/2026	588.59
4/8/2026	606.09
4/9/2026	610.19
4/10/2026	611.07
4/13/2026	617.39
4/14/2026	628.6
4/15/2026	637.4
4/16/2026	640.47
4/17/2026	648.85
4/20/2026	646.79
4/21/2026	644.33
4/22/2026	655.11
4/23/2026	651.42
