Date	Close/Last
4/24/2025	244.64
4/25/2025	243.55
4/28/2025	243.22
4/29/2025	244.62
4/30/2025	244.62
5/1/2025	246.89
5/2/2025	252.51
5/5/2025	252.56
5/6/2025	249.25
5/7/2025	249.39
5/8/2025	253.47
5/9/2025	253.08
5/12/2025	260.05
5/13/2025	263.01
5/14/2025	265.64
5/15/2025	267.49
5/16/2025	267.56
5/19/2025	264.88
5/20/2025	265.68
5/21/2025	261.04
5/22/2025	260.67
5/23/2025	260.71
5/27/2025	265.29
5/28/2025	263.49
5/29/2025	264.37
5/30/2025	264
6/2/2025	264.66
6/3/2025	266.27
6/4/2025	264.22
6/5/2025	261.95
6/6/2025	265.73
6/9/2025	266.74
6/10/2025	268.6
6/11/2025	268.15
6/12/2025	268.24
6/13/2025	264.95
6/16/2025	270.36
6/17/2025	269.52
6/18/2025	273.96
6/20/2025	275
6/23/2025	278.27
6/24/2025	281.26
6/25/2025	284.06
6/26/2025	288.75
6/27/2025	287.11
6/30/2025	289.91
7/1/2025	290.41
7/2/2025	292
7/3/2025	296
7/7/2025	291.97
7/8/2025	282.78
7/9/2025	283.16
7/10/2025	288.19
7/11/2025	286.86
7/14/2025	288.7
7/15/2025	286.55
7/16/2025	285.82
7/17/2025	289.9
7/18/2025	291.27
7/21/2025	290.97
7/22/2025	291.43
7/23/2025	296.76
7/24/2025	296.55
7/25/2025	298.62
7/28/2025	298.28
7/29/2025	297.04
7/30/2025	299.63
7/31/2025	296.24
8/1/2025	289.37
8/4/2025	294.26
8/5/2025	291.37
8/6/2025	291.35
8/7/2025	286.94
8/8/2025	288.76
8/11/2025	289.56
8/12/2025	292.85
8/13/2025	290.53
8/14/2025	294.16
8/15/2025	290.49
8/18/2025	291.53
8/19/2025	290.66
8/20/2025	292.24
8/21/2025	291.47
8/22/2025	296.24
8/25/2025	294.9
8/26/2025	298.57
8/27/2025	299.28
8/28/2025	301.07
8/29/2025	301.42
9/2/2025	299.7
9/3/2025	299.51
9/4/2025	303.82
9/5/2025	294.38
9/8/2025	292.91
9/9/2025	297.85
9/10/2025	300.54
9/11/2025	305.56
9/12/2025	306.91
9/15/2025	308.9
9/16/2025	309.19
9/17/2025	311.75
9/18/2025	313.23
9/19/2025	314.78
9/22/2025	312.44
9/23/2025	312.74
9/24/2025	313.42
9/25/2025	313.45
9/26/2025	316.06
9/29/2025	315.69
9/30/2025	315.43
10/1/2025	310.71
10/2/2025	307.55
10/3/2025	310.03
10/6/2025	309.18
10/7/2025	307.69
10/8/2025	304.03
10/9/2025	305.53
10/10/2025	300.89
10/13/2025	307.97
10/14/2025	302.08
10/15/2025	305.69
10/16/2025	298.54
10/17/2025	297.56
10/20/2025	302.36
10/21/2025	297.09
10/22/2025	294.11
10/23/2025	294.54
10/24/2025	300.44
10/27/2025	304.15
10/28/2025	305.36
10/29/2025	305.51
10/30/2025	309.44
10/31/2025	311.12
11/3/2025	309.35
11/4/2025	309.25
11/5/2025	311.68
11/6/2025	313.42
11/7/2025	314.21
11/10/2025	316.89
11/11/2025	315.62
11/12/2025	320.41
11/13/2025	309.48
11/14/2025	303.61
11/17/2025	300.37
11/18/2025	299.41
11/19/2025	303.27
11/20/2025	298.38
11/21/2025	298.02
11/24/2025	298
11/25/2025	303
11/26/2025	307.64
11/28/2025	313.08
12/1/2025	308.92
12/2/2025	307.88
12/3/2025	312.13
12/4/2025	316.1
12/5/2025	315.04
12/8/2025	315.21
12/9/2025	300.51
12/10/2025	310.11
12/11/2025	317.38
12/12/2025	318.52
12/15/2025	320.02
12/16/2025	315.55
12/17/2025	314.98
12/18/2025	313
12/19/2025	317.21
12/22/2025	323.09
12/23/2025	325.93
12/24/2025	329.17
12/26/2025	327.91
12/29/2025	323.75
12/30/2025	323.42
12/31/2025	322.22
1/2/2026	325.48
1/5/2026	334.04
1/6/2026	334.61
1/7/2026	326.99
1/8/2026	329.79
1/9/2026	329.19
1/12/2026	324.49
1/13/2026	310.9
1/14/2026	307.87
1/15/2026	309.26
1/16/2026	312.47
1/20/2026	302.74
1/21/2026	302.04
1/22/2026	303.63
1/23/2026	297.72
1/26/2026	301.04
1/27/2026	300.31
1/28/2026	300.77
1/29/2026	306.42
1/30/2026	305.89
2/2/2026	308.14
2/3/2026	314.85
2/4/2026	317.27
2/5/2026	310.16
2/6/2026	322.4
2/9/2026	322.1
2/10/2026	318.28
2/11/2026	310.82
2/12/2026	302.64
2/13/2026	302.55
2/17/2026	307.13
2/18/2026	308.78
2/19/2026	308.05
2/20/2026	310.79
2/23/2026	297.67
2/24/2026	297.3
2/25/2026	303.3
2/26/2026	306.13
2/27/2026	300.3
3/2/2026	297.56
3/3/2026	300.26
3/4/2026	299.39
3/5/2026	293.55
3/6/2026	289.48
3/9/2026	289.92
3/10/2026	288.73
3/11/2026	287.52
3/12/2026	282.89
3/13/2026	283.44
3/16/2026	286.16
3/17/2026	286.89
3/18/2026	287.74
3/19/2026	287.97
3/20/2026	286.56
3/23/2026	289.91
3/24/2026	292.4
3/25/2026	295.42
3/26/2026	291.66
3/27/2026	282.84
3/30/2026	283.77
3/31/2026	294.16
4/1/2026	295.38
4/2/2026	294.6
4/6/2026	295.45
4/7/2026	297.4
4/8/2026	307.97
4/9/2026	310.33
4/10/2026	309.87
4/13/2026	313.68
4/14/2026	311.12
4/15/2026	305.93
4/16/2026	309.95
4/17/2026	310.29
4/20/2026	316.99
4/21/2026	313
4/22/2026	313.02
4/23/2026	311.69
